timeStamp,pl,accPL,lastPrice
2016-08-11 15:00:00,0.75,0.75,417.75
2016-08-11 16:00:00,-0.25,0.5,417.0
2016-08-11 17:00:00,-2.25,-1.75,417.25
2016-08-11 18:00:00,2.75,1.0,419.5
2016-08-11 19:00:00,1.0,2.0,416.75
2016-08-11 22:00:00,-0.5,1.5,415.75
2016-08-12 00:00:00,-0.0,1.5,416.25
2016-08-12 01:00:00,-0.5,1.0,416.25
2016-08-12 02:00:00,-0.0,1.0,416.75
2016-08-12 03:00:00,0.5,1.5,416.75
2016-08-12 04:00:00,-0.0,1.5,416.25
2016-08-12 05:00:00,0.5,2.0,416.25
2016-08-12 06:00:00,-0.0,2.0,415.75
2016-08-12 07:00:00,-0.0,2.0,415.75
2016-08-12 08:00:00,-0.25,1.75,415.75
2016-08-12 09:00:00,-0.0,1.75,416.0
2016-08-12 10:00:00,1.5,3.25,416.0
2016-08-12 11:00:00,-1.5,1.75,414.5
2016-08-12 12:00:00,0.25,2.0,416.0
2016-08-12 13:00:00,0.5,2.5,415.75
2016-08-12 14:00:00,-1.25,1.25,415.25
2016-08-12 15:00:00,-4.0,-2.75,416.5
2016-08-12 16:00:00,5.75,3.0,420.5
2016-08-12 17:00:00,4.0,7.0,414.75
2016-08-12 18:00:00,-8.5,-1.5,410.75
2016-08-12 19:00:00,-2.75,-4.25,419.25
2016-08-15 01:00:00,1.25,-3.0,422.0
2016-08-15 02:00:00,-3.75,-6.75,420.75
2016-08-15 03:00:00,-0.75,-7.5,424.5
2016-08-15 04:00:00,-0.0,-7.5,425.25
2016-08-15 05:00:00,0.5,-7.0,425.25
2016-08-15 06:00:00,-0.0,-7.0,424.75
2016-08-15 07:00:00,-2.25,-9.25,424.75
2016-08-15 08:00:00,0.5,-8.75,427.0
2016-08-15 09:00:00,0.25,-8.5,426.5
2016-08-15 10:00:00,0.25,-8.25,426.25
2016-08-15 11:00:00,-0.25,-8.5,426.0
2016-08-15 12:00:00,-0.25,-8.75,426.25
2016-08-15 13:00:00,0.5,-8.25,426.5
2016-08-15 14:00:00,-3.5,-11.75,426.0
2016-08-15 15:00:00,4.25,-7.5,429.5
2016-08-15 16:00:00,4.25,-3.25,425.25
2016-08-15 17:00:00,2.0,-1.25,421.0
2016-08-15 18:00:00,-4.5,-5.75,419.0
2016-08-15 19:00:00,2.5,-3.25,423.5
2016-08-15 22:00:00,-1.0,-4.25,421.0
2016-08-16 00:00:00,-0.0,-4.25,422.0
2016-08-16 01:00:00,0.25,-4.0,422.0
2016-08-16 02:00:00,2.75,-1.25,421.75
2016-08-16 03:00:00,0.5,-0.75,419.0
2016-08-16 04:00:00,-0.75,-1.5,418.5
2016-08-16 05:00:00,-0.25,-1.75,419.25
2016-08-16 06:00:00,-0.0,-1.75,419.5
2016-08-16 07:00:00,-1.0,-2.75,419.5
2016-08-16 08:00:00,0.25,-2.5,420.5
2016-08-16 09:00:00,0.25,-2.25,420.25
2016-08-16 10:00:00,1.0,-1.25,420.0
2016-08-16 11:00:00,0.25,-1.0,419.0
2016-08-16 12:00:00,-0.0,-1.0,418.75
2016-08-16 13:00:00,-0.0,-1.0,418.75
2016-08-16 14:00:00,2.0,1.0,418.75
2016-08-16 15:00:00,-5.5,-4.5,416.75
2016-08-16 16:00:00,-0.75,-5.25,422.25
2016-08-16 17:00:00,-2.25,-7.5,423.0
2016-08-16 18:00:00,-0.25,-7.75,425.25
2016-08-16 19:00:00,1.75,-6.0,425.5
2016-08-16 22:00:00,0.25,-5.75,423.75
2016-08-17 00:00:00,-0.0,-5.75,423.5
2016-08-17 01:00:00,-0.0,-5.75,423.5
2016-08-17 02:00:00,0.5,-5.25,423.5
2016-08-17 03:00:00,-0.25,-5.5,423.0
2016-08-17 04:00:00,-0.5,-6.0,423.25
2016-08-17 05:00:00,-0.25,-6.25,423.75
2016-08-17 06:00:00,-0.0,-6.25,424.0
2016-08-17 07:00:00,0.5,-5.75,424.0
2016-08-17 08:00:00,-0.0,-5.75,423.5
2016-08-17 09:00:00,1.75,-4.0,423.5
2016-08-17 10:00:00,-1.0,-5.0,421.75
2016-08-17 11:00:00,0.75,-4.25,422.75
2016-08-17 12:00:00,-0.25,-4.5,422.0
2016-08-17 13:00:00,-0.5,-5.0,422.25
2016-08-17 14:00:00,2.0,-3.0,422.75
2016-08-17 15:00:00,-5.75,-8.75,420.75
2016-08-17 16:00:00,1.75,-7.0,426.5
2016-08-17 17:00:00,-2.0,-9.0,424.75
2016-08-17 18:00:00,1.75,-7.25,426.75
2016-08-17 19:00:00,1.5,-5.75,425.0
2016-08-17 22:00:00,-2.5,-8.25,423.5
2016-08-18 01:00:00,2.0,-6.25,426.0
2016-08-18 02:00:00,-1.5,-7.75,424.0
2016-08-18 03:00:00,-0.25,-8.0,425.5
2016-08-18 04:00:00,0.25,-7.75,425.75
2016-08-18 05:00:00,0.5,-7.25,425.5
2016-08-18 06:00:00,1.5,-5.75,425.0
2016-08-18 07:00:00,0.75,-5.0,423.5
2016-08-18 08:00:00,-0.5,-5.5,422.75
2016-08-18 09:00:00,-1.25,-6.75,423.25
2016-08-18 10:00:00,-0.25,-7.0,424.5
2016-08-18 11:00:00,1.25,-5.75,424.75
2016-08-18 12:00:00,-0.5,-6.25,423.5
2016-08-18 13:00:00,0.25,-6.0,424.0
2016-08-18 14:00:00,2.5,-3.5,423.75
2016-08-18 15:00:00,-1.25,-4.75,421.25
2016-08-18 16:00:00,-2.75,-7.5,422.5
2016-08-18 17:00:00,-1.25,-8.75,425.25
2016-08-18 18:00:00,-0.5,-9.25,426.5
2016-08-18 19:00:00,-0.75,-10.0,427.0
2016-08-18 22:00:00,-0.75,-10.75,427.75
2016-08-19 00:00:00,-0.0,-10.75,427.0
2016-08-19 01:00:00,1.0,-9.75,427.0
2016-08-19 02:00:00,0.0,-9.75,426.0
2016-08-19 03:00:00,1.5,-8.25,426.0
2016-08-19 04:00:00,-1.0,-9.25,424.5
2016-08-19 05:00:00,0.25,-9.0,425.5
2016-08-19 06:00:00,-0.75,-9.75,425.25
2016-08-19 07:00:00,0.75,-9.0,426.0
2016-08-19 08:00:00,-0.25,-9.25,425.25
2016-08-19 09:00:00,-0.25,-9.5,425.5
2016-08-19 10:00:00,-0.25,-9.75,425.75
2016-08-19 11:00:00,1.0,-8.75,426.0
2016-08-19 12:00:00,-0.25,-9.0,425.0
2016-08-19 13:00:00,0.25,-8.75,425.25
2016-08-19 14:00:00,-1.0,-9.75,425.0
2016-08-19 15:00:00,-5.5,-15.25,426.0
2016-08-19 16:00:00,-0.5,-15.75,431.5
2016-08-19 17:00:00,0.5,-15.25,432.0
2016-08-19 18:00:00,1.5,-13.75,431.5
2016-08-19 19:00:00,3.25,-10.5,430.0
2016-08-22 01:00:00,-0.25,-10.75,426.75
2016-08-22 02:00:00,-1.0,-11.75,427.0
2016-08-22 03:00:00,0.5,-11.25,428.0
2016-08-22 04:00:00,1.0,-10.25,427.5
2016-08-22 05:00:00,0.25,-10.0,426.5
2016-08-22 06:00:00,1.25,-8.75,426.25
2016-08-22 07:00:00,0.25,-8.5,425.0
2016-08-22 08:00:00,0.5,-8.0,424.75
2016-08-22 09:00:00,1.25,-6.75,424.25
2016-08-22 10:00:00,1.25,-5.5,423.0
2016-08-22 11:00:00,-0.75,-6.25,421.75
2016-08-22 12:00:00,-0.0,-6.25,422.5
2016-08-22 13:00:00,3.25,-3.0,422.5
2016-08-22 14:00:00,0.25,-2.75,419.25
2016-08-22 15:00:00,1.25,-1.5,419.0
2016-08-22 16:00:00,0.75,-0.75,417.75
2016-08-22 17:00:00,-0.5,-1.25,417.0
2016-08-22 18:00:00,0.25,-1.0,417.5
2016-08-22 19:00:00,2.5,1.5,417.25
2016-08-22 22:00:00,-0.5,1.0,414.75
2016-08-23 01:00:00,2.0,3.0,415.25
2016-08-23 02:00:00,0.25,3.25,413.25
2016-08-23 03:00:00,1.0,4.25,413.0
2016-08-23 04:00:00,0.25,4.5,412.0
2016-08-23 05:00:00,-0.0,4.5,411.75
2016-08-23 06:00:00,-0.5,4.0,411.75
2016-08-23 07:00:00,-0.25,3.75,412.25
2016-08-23 08:00:00,-0.25,3.5,412.5
2016-08-23 09:00:00,3.25,6.75,412.75
2016-08-23 10:00:00,1.25,8.0,409.5
2016-08-23 11:00:00,-1.25,6.75,408.25
2016-08-23 12:00:00,-1.5,5.25,409.5
2016-08-23 13:00:00,1.0,6.25,411.0
2016-08-23 14:00:00,0.75,7.0,410.0
2016-08-23 15:00:00,-1.0,6.0,409.25
2016-08-23 16:00:00,1.5,7.5,410.25
2016-08-23 17:00:00,-2.25,5.25,408.75
2016-08-23 18:00:00,2.5,7.75,411.0
2016-08-23 19:00:00,-0.25,7.5,408.5
2016-08-23 22:00:00,1.0,8.5,408.75
2016-08-24 00:00:00,-0.0,8.5,407.75
2016-08-24 01:00:00,-1.0,7.5,407.75
2016-08-24 02:00:00,0.5,8.0,408.75
2016-08-24 03:00:00,0.5,8.5,408.25
2016-08-24 04:00:00,-0.0,8.5,407.75
2016-08-24 05:00:00,0.25,8.75,407.75
2016-08-24 06:00:00,-0.0,8.75,407.5
2016-08-24 07:00:00,2.5,11.25,407.5
2016-08-24 08:00:00,0.25,11.5,405.0
2016-08-24 09:00:00,1.5,13.0,404.75
2016-08-24 10:00:00,-1.25,11.75,403.25
2016-08-24 11:00:00,0.5,12.25,404.5
2016-08-24 12:00:00,-0.5,11.75,404.0
2016-08-24 13:00:00,-1.0,10.75,404.5
2016-08-24 14:00:00,0.75,11.5,405.5
2016-08-24 15:00:00,-2.5,9.0,404.75
2016-08-24 16:00:00,1.25,10.25,407.25
2016-08-24 17:00:00,0.25,10.5,406.0
2016-08-24 18:00:00,2.0,12.5,405.75
2016-08-24 19:00:00,-0.5,12.0,403.75
2016-08-24 22:00:00,0.25,12.25,404.25
2016-08-25 00:00:00,-0.0,12.25,404.0
2016-08-25 01:00:00,-2.25,10.0,404.0
2016-08-25 02:00:00,1.25,11.25,406.25
2016-08-25 03:00:00,-1.0,10.25,405.0
2016-08-25 04:00:00,1.0,11.25,406.0
2016-08-25 05:00:00,-0.25,11.0,405.0
2016-08-25 06:00:00,-0.25,10.75,405.25
2016-08-25 07:00:00,0.5,11.25,405.5
2016-08-25 08:00:00,0.5,11.75,405.0
2016-08-25 09:00:00,-1.25,10.5,404.5
2016-08-25 10:00:00,-0.75,9.75,405.75
2016-08-25 11:00:00,1.0,10.75,406.5
2016-08-25 12:00:00,-1.5,9.25,405.5
2016-08-25 13:00:00,0.5,9.75,407.0
2016-08-25 14:00:00,4.25,14.0,406.5
2016-08-25 15:00:00,0.25,14.25,402.25
2016-08-25 16:00:00,-2.0,12.25,402.0
2016-08-25 17:00:00,0.5,12.75,404.0
2016-08-25 18:00:00,-0.25,12.5,403.5
2016-08-25 19:00:00,2.5,15.0,403.75
2016-08-25 22:00:00,-0.0,15.0,401.25
2016-08-25 23:00:00,-0.0,15.0,401.25
2016-08-26 01:00:00,-0.5,14.5,401.25
2016-08-26 02:00:00,-0.5,14.0,401.75
2016-08-26 03:00:00,0.75,14.75,402.25
2016-08-26 04:00:00,1.0,15.75,401.5
2016-08-26 05:00:00,-1.0,14.75,400.5
2016-08-26 06:00:00,1.0,15.75,401.5
2016-08-26 07:00:00,0.5,16.25,400.5
2016-08-26 08:00:00,0.75,17.0,401.0
2016-08-26 09:00:00,-0.25,16.75,400.25
2016-08-26 10:00:00,-0.25,16.5,400.0
2016-08-26 11:00:00,-0.25,16.25,400.25
2016-08-26 12:00:00,-1.0,15.25,400.5
2016-08-26 13:00:00,0.75,16.0,401.5
2016-08-26 14:00:00,1.75,17.75,400.75
2016-08-26 15:00:00,4.5,22.25,399.0
2016-08-26 16:00:00,6.75,29.0,394.5
2016-08-26 17:00:00,3.25,32.25,387.75
2016-08-26 18:00:00,1.5,33.75,384.5
2016-08-26 19:00:00,0.75,34.5,383.0
2016-08-29 01:00:00,0.25,34.75,382.25
2016-08-29 02:00:00,-1.5,33.25,382.0
2016-08-29 03:00:00,2.25,35.5,383.5
2016-08-29 04:00:00,-0.75,34.75,381.25
2016-08-29 05:00:00,-0.0,34.75,382.0
2016-08-29 06:00:00,0.5,35.25,382.0
2016-08-29 07:00:00,5.25,40.5,381.5
2016-08-29 08:00:00,-2.75,37.75,376.25
2016-08-29 09:00:00,2.0,39.75,379.0
2016-08-29 10:00:00,-0.75,39.0,377.0
2016-08-29 11:00:00,1.75,40.75,377.75
2016-08-29 12:00:00,0.5,41.25,376.0
2016-08-29 13:00:00,1.0,42.25,375.5
2016-08-29 14:00:00,1.25,43.5,374.5
2016-08-29 15:00:00,-0.25,43.25,373.25
2016-08-29 16:00:00,2.75,46.0,373.5
2016-08-29 17:00:00,-0.0,46.0,370.75
2016-08-29 18:00:00,0.25,46.25,370.75
2016-08-29 19:00:00,0.25,46.5,370.5
2016-08-29 22:00:00,-0.25,46.25,370.25
2016-08-29 23:00:00,-0.0,46.25,370.5
2016-08-30 01:00:00,-1.5,44.75,370.5
2016-08-30 02:00:00,0.25,45.0,372.0
2016-08-30 03:00:00,-0.25,44.75,371.75
2016-08-30 04:00:00,0.25,45.0,372.0
2016-08-30 05:00:00,-0.5,44.5,371.75
2016-08-30 06:00:00,-0.5,44.0,372.25
2016-08-30 07:00:00,-0.5,43.5,372.75
2016-08-30 08:00:00,0.25,43.75,373.25
2016-08-30 09:00:00,-0.0,43.75,373.0
2016-08-30 10:00:00,1.75,45.5,373.0
2016-08-30 11:00:00,-0.0,45.5,371.25
2016-08-30 12:00:00,-1.5,44.0,371.25
2016-08-30 13:00:00,-0.25,43.75,372.75
2016-08-30 14:00:00,2.25,46.0,373.0
2016-08-30 15:00:00,1.75,47.75,370.75
2016-08-30 16:00:00,4.5,52.25,369.0
2016-08-30 17:00:00,1.25,53.5,364.5
2016-08-30 18:00:00,0.75,54.25,363.25
2016-08-30 19:00:00,-0.25,54.0,362.5
2016-08-30 22:00:00,-0.5,53.5,362.75
2016-08-30 23:00:00,-0.0,53.5,363.25
2016-08-31 01:00:00,-1.75,51.75,363.25
2016-08-31 02:00:00,0.75,52.5,365.0
2016-08-31 03:00:00,0.25,52.75,364.25
2016-08-31 04:00:00,-0.25,52.5,364.0
2016-08-31 07:00:00,0.5,53.0,364.25
2016-08-31 08:00:00,0.5,53.5,363.75
2016-08-31 09:00:00,0.75,54.25,363.25
2016-08-31 10:00:00,-0.5,53.75,362.5
2016-08-31 11:00:00,0.25,54.0,363.0
2016-08-31 12:00:00,-1.25,52.75,362.75
2016-08-31 13:00:00,-0.5,52.25,364.0
2016-08-31 14:00:00,-2.0,50.25,364.5
2016-08-31 15:00:00,3.0,53.25,366.5
2016-08-31 16:00:00,-0.25,53.0,363.5
2016-08-31 17:00:00,-0.75,52.25,363.75
2016-08-31 18:00:00,2.25,54.5,364.5
2016-08-31 19:00:00,-0.5,54.0,362.25
2016-08-31 22:00:00,1.75,55.75,362.75
2016-09-01 00:00:00,-0.0,55.75,361.0
2016-09-01 01:00:00,-1.5,54.25,361.0
2016-09-01 02:00:00,-0.0,54.25,362.5
2016-09-01 03:00:00,-0.75,53.5,362.5
2016-09-01 08:00:00,-3.0,50.5,363.25
2016-09-01 10:00:00,0.75,51.25,366.25
2016-09-01 11:00:00,-0.75,50.5,365.5
2016-09-01 13:00:00,1.0,51.5,366.25
2016-09-01 14:00:00,0.5,52.0,365.25
2016-09-01 15:00:00,0.25,52.25,364.75
2016-09-01 16:00:00,-4.5,47.75,364.5
2016-09-01 17:00:00,2.5,50.25,369.0
2016-09-01 18:00:00,-0.25,50.0,366.5
2016-09-01 19:00:00,-1.5,48.5,366.75
2016-09-01 22:00:00,-0.0,48.5,368.25
2016-09-02 00:00:00,-0.0,48.5,368.25
2016-09-02 01:00:00,1.0,49.5,368.25
2016-09-02 13:00:00,-5.25,44.25,367.25
2016-09-02 15:00:00,-0.25,44.0,372.5
2016-09-02 16:00:00,-1.5,42.5,372.75
2016-09-02 17:00:00,2.25,44.75,374.25
2016-09-02 19:00:00,-1.25,43.5,372.0
2016-09-06 11:00:00,3.5,47.0,373.25
2016-09-06 14:00:00,-1.25,45.75,369.75
2016-09-06 15:00:00,-5.5,40.25,371.0
2016-09-06 16:00:00,6.5,46.75,376.5
2016-09-06 17:00:00,-0.75,46.0,370.0
2016-09-06 22:00:00,-0.25,45.75,370.75
2016-09-07 14:00:00,-4.25,41.5,371.0
2016-09-07 16:00:00,2.25,43.75,375.25
2016-09-07 17:00:00,-3.75,40.0,373.0
2016-09-07 18:00:00,0.75,40.75,376.75
2016-09-07 22:00:00,0.75,41.5,376.0
2016-09-08 00:00:00,-0.0,41.5,375.25
2016-09-08 22:00:00,-1.75,39.75,375.25
2016-09-08 23:00:00,-0.0,39.75,377.0
2016-09-12 17:00:00,-4.75,35.0,377.0
2016-09-12 18:00:00,0.25,35.25,381.75
2016-09-12 19:00:00,-3.0,32.25,381.5
2016-09-12 22:00:00,1.25,33.5,384.5
2016-09-12 23:00:00,-0.0,33.5,383.25
2016-09-13 13:00:00,2.75,36.25,383.25
2016-09-13 16:00:00,1.25,37.5,380.5
2016-09-13 22:00:00,4.5,42.0,379.25
2016-09-13 23:00:00,-0.0,42.0,374.75
2016-09-14 22:00:00,-2.0,40.0,374.75
2016-09-15 06:00:00,-25.75,14.25,376.75
2016-09-15 07:00:00,0.75,15.0,402.5
2016-09-15 08:00:00,-1.75,13.25,401.75
2016-09-15 09:00:00,-2.5,10.75,403.5
2016-09-15 10:00:00,1.25,12.0,406.0
2016-09-15 11:00:00,0.75,12.75,404.75
2016-09-15 12:00:00,-0.25,12.5,404.0
2016-09-15 13:00:00,-0.5,12.0,404.25
2016-09-15 14:00:00,0.25,12.25,404.75
2016-09-15 15:00:00,4.25,16.5,404.5
2016-09-15 16:00:00,1.25,17.75,400.25
2016-09-15 17:00:00,-0.25,17.5,399.0
2016-09-15 18:00:00,-0.75,16.75,399.25
2016-09-15 19:00:00,1.25,18.0,400.0
2016-09-15 22:00:00,-0.75,17.25,398.75
2016-09-16 00:00:00,-0.0,17.25,399.5
2016-09-16 01:00:00,1.5,18.75,399.5
2016-09-16 02:00:00,0.25,19.0,398.0
2016-09-16 03:00:00,-0.0,19.0,397.75
2016-09-16 04:00:00,0.25,19.25,397.75
2016-09-16 05:00:00,0.25,19.5,397.5
2016-09-16 06:00:00,-0.0,19.5,397.25
2016-09-16 07:00:00,-0.25,19.25,397.25
2016-09-16 08:00:00,-0.75,18.5,397.5
2016-09-16 09:00:00,0.25,18.75,398.25
2016-09-16 10:00:00,-0.5,18.25,398.0
2016-09-16 11:00:00,-0.0,18.25,398.5
2016-09-16 12:00:00,0.25,18.5,398.5
2016-09-16 13:00:00,2.5,21.0,398.25
2016-09-16 14:00:00,-5.0,16.0,395.75
2016-09-16 15:00:00,-0.25,15.75,400.75
2016-09-16 16:00:00,-3.0,12.75,401.0
2016-09-16 17:00:00,1.25,14.0,404.0
2016-09-16 18:00:00,-0.5,13.5,402.75
2016-09-16 19:00:00,-0.25,13.25,403.25
2016-09-19 01:00:00,-2.75,10.5,403.5
2016-09-19 02:00:00,0.75,11.25,406.25
2016-09-19 03:00:00,-0.75,10.5,405.5
2016-09-19 04:00:00,-0.25,10.25,406.25
2016-09-19 05:00:00,-0.5,9.75,406.5
2016-09-19 06:00:00,0.25,10.0,407.0
2016-09-19 07:00:00,-0.25,9.75,406.75
2016-09-19 08:00:00,-0.5,9.25,407.0
2016-09-19 09:00:00,0.75,10.0,407.5
2016-09-19 10:00:00,0.5,10.5,406.75
2016-09-19 11:00:00,1.0,11.5,406.25
2016-09-19 12:00:00,-1.25,10.25,405.25
2016-09-19 13:00:00,-0.0,10.25,406.5
2016-09-19 14:00:00,-1.5,8.75,406.5
2016-09-19 15:00:00,4.75,13.5,408.0
2016-09-19 16:00:00,2.75,16.25,403.25
2016-09-19 17:00:00,-2.5,13.75,400.5
2016-09-19 18:00:00,-0.5,13.25,403.0
2016-09-19 19:00:00,-1.5,11.75,403.5
2016-09-19 22:00:00,1.0,12.75,405.0
2016-09-19 23:00:00,-0.0,12.75,404.0
2016-09-20 01:00:00,2.0,14.75,404.0
2016-09-20 02:00:00,-1.5,13.25,402.0
2016-09-20 03:00:00,-0.0,13.25,403.5
2016-09-20 04:00:00,-0.0,13.25,403.5
2016-09-20 05:00:00,-0.25,13.0,403.5
2016-09-20 06:00:00,-0.0,13.0,403.75
2016-09-20 07:00:00,-1.0,12.0,403.75
2016-09-20 08:00:00,-0.0,12.0,404.75
2016-09-20 09:00:00,0.25,12.25,404.75
2016-09-20 10:00:00,-0.75,11.5,404.5
2016-09-20 11:00:00,-0.0,11.5,405.25
2016-09-20 12:00:00,-0.25,11.25,405.25
2016-09-20 13:00:00,-1.0,10.25,405.5
2016-09-20 14:00:00,-1.5,8.75,406.5
2016-09-20 15:00:00,-0.25,8.5,408.0
2016-09-20 16:00:00,2.5,11.0,408.25
2016-09-20 17:00:00,-1.0,10.0,405.75
2016-09-20 18:00:00,0.75,10.75,406.75
2016-09-20 19:00:00,-0.0,10.75,406.0
2016-09-20 22:00:00,-0.0,10.75,406.0
2016-09-20 23:00:00,-0.0,10.75,406.0
2016-09-21 01:00:00,2.0,12.75,406.0
2016-09-21 02:00:00,0.5,13.25,404.0
2016-09-21 03:00:00,-0.25,13.0,403.5
2016-09-21 04:00:00,-0.75,12.25,403.75
2016-09-21 05:00:00,1.0,13.25,404.5
2016-09-21 06:00:00,0.0,13.25,403.5
2016-09-21 07:00:00,-0.5,12.75,403.5
2016-09-21 08:00:00,0.25,13.0,404.0
2016-09-21 09:00:00,1.25,14.25,403.75
2016-09-21 10:00:00,1.0,15.25,402.5
2016-09-21 11:00:00,-0.0,15.25,403.5
2016-09-21 12:00:00,0.25,15.5,403.5
2016-09-21 13:00:00,-0.5,15.0,403.25
2016-09-21 14:00:00,-1.0,14.0,403.75
2016-09-21 15:00:00,-4.0,10.0,402.75
2016-09-21 16:00:00,0.25,10.25,406.75
2016-09-21 17:00:00,-1.0,9.25,406.5
2016-09-21 18:00:00,-1.25,8.0,407.5
2016-09-21 19:00:00,2.25,10.25,408.75
2016-09-21 22:00:00,-1.25,9.0,406.5
2016-09-21 23:00:00,-0.0,9.0,407.75
2016-09-22 01:00:00,-0.5,8.5,407.75
2016-09-22 02:00:00,-0.25,8.25,408.25
2016-09-22 03:00:00,-0.0,8.25,408.5
2016-09-22 04:00:00,-0.0,8.25,408.5
2016-09-22 05:00:00,-0.0,8.25,408.5
2016-09-22 06:00:00,1.5,9.75,408.5
2016-09-22 07:00:00,0.5,10.25,407.0
2016-09-22 08:00:00,-2.0,8.25,406.5
2016-09-22 09:00:00,-0.0,8.25,408.5
2016-09-22 10:00:00,-0.5,7.75,408.5
2016-09-22 11:00:00,1.5,9.25,409.0
2016-09-22 12:00:00,-0.75,8.5,407.5
2016-09-22 13:00:00,-0.75,7.75,408.25
2016-09-22 14:00:00,2.5,10.25,409.0
2016-09-22 15:00:00,-1.25,9.0,406.5
2016-09-22 16:00:00,0.25,9.25,407.75
2016-09-22 17:00:00,1.25,10.5,407.5
2016-09-22 18:00:00,1.25,11.75,406.25
2016-09-22 19:00:00,0.25,12.0,405.0
2016-09-22 22:00:00,-0.75,11.25,404.75
2016-09-23 00:00:00,-0.0,11.25,405.5
2016-09-23 01:00:00,2.0,13.25,405.5
2016-09-23 02:00:00,0.25,13.5,403.5
2016-09-23 03:00:00,0.25,13.75,403.25
2016-09-23 04:00:00,-0.25,13.5,403.0
2016-09-23 05:00:00,0.5,14.0,403.25
2016-09-23 06:00:00,-0.0,14.0,402.75
2016-09-23 07:00:00,0.25,14.25,402.75
2016-09-23 08:00:00,1.0,15.25,402.5
2016-09-23 09:00:00,-0.0,15.25,401.5
2016-09-23 10:00:00,-0.75,14.5,401.5
2016-09-23 11:00:00,-1.5,13.0,402.25
2016-09-23 12:00:00,0.5,13.5,403.75
2016-09-23 13:00:00,-3.0,10.5,403.25
2016-09-23 14:00:00,-2.5,8.0,406.25
2016-09-23 15:00:00,3.5,11.5,408.75
2016-09-23 16:00:00,-0.0,11.5,405.25
2016-09-23 17:00:00,0.25,11.75,405.25
2016-09-23 18:00:00,0.5,12.25,405.0
2016-09-23 19:00:00,0.75,13.0,404.5
2016-09-26 01:00:00,-0.75,12.25,403.75
2016-09-26 02:00:00,-2.0,10.25,404.5
2016-09-26 03:00:00,0.25,10.5,406.5
2016-09-26 04:00:00,-0.25,10.25,406.25
2016-09-26 05:00:00,0.5,10.75,406.5
2016-09-26 06:00:00,0.75,11.5,406.0
2016-09-26 07:00:00,-0.0,11.5,405.25
2016-09-26 08:00:00,0.5,12.0,405.25
2016-09-26 09:00:00,0.5,12.5,404.75
2016-09-26 10:00:00,0.75,13.25,404.25
2016-09-26 11:00:00,-0.5,12.75,403.5
2016-09-26 12:00:00,-0.0,12.75,404.0
2016-09-26 13:00:00,0.25,13.0,404.0
2016-09-26 14:00:00,5.0,18.0,403.75
2016-09-26 15:00:00,0.75,18.75,398.75
2016-09-26 16:00:00,0.5,19.25,398.0
2016-09-26 17:00:00,0.5,19.75,397.5
2016-09-26 18:00:00,0.5,20.25,397.0
2016-09-26 19:00:00,0.5,20.75,396.5
2016-09-26 22:00:00,-0.0,20.75,396.0
2016-09-27 00:00:00,-0.0,20.75,396.0
2016-09-27 01:00:00,-0.75,20.0,396.0
2016-09-27 02:00:00,-0.75,19.25,396.75
2016-09-27 03:00:00,0.5,19.75,397.5
2016-09-27 04:00:00,-0.25,19.5,397.0
2016-09-27 05:00:00,-0.0,19.5,397.25
2016-09-27 06:00:00,-0.25,19.25,397.25
2016-09-27 07:00:00,-0.0,19.25,397.5
2016-09-27 08:00:00,0.25,19.5,397.5
2016-09-27 09:00:00,-0.0,19.5,397.25
2016-09-27 10:00:00,-0.25,19.25,397.25
2016-09-27 11:00:00,-0.25,19.0,397.5
2016-09-27 12:00:00,-0.5,18.5,397.75
2016-09-27 13:00:00,0.5,19.0,398.25
2016-09-27 14:00:00,1.25,20.25,397.75
2016-09-27 15:00:00,0.25,20.5,396.5
2016-09-27 16:00:00,-4.5,16.0,396.25
2016-09-27 17:00:00,0.25,16.25,400.75
2016-09-27 18:00:00,-2.75,13.5,400.5
2016-09-27 19:00:00,-0.75,12.75,403.25
2016-09-27 22:00:00,-0.0,12.75,404.0
2016-09-28 00:00:00,-0.0,12.75,404.0
2016-09-28 01:00:00,-0.75,12.0,404.0
2016-09-28 02:00:00,0.25,12.25,404.75
2016-09-28 03:00:00,-0.25,12.0,404.5
2016-09-28 04:00:00,-0.5,11.5,404.75
2016-09-28 05:00:00,0.25,11.75,405.25
2016-09-28 06:00:00,-0.0,11.75,405.0
2016-09-28 07:00:00,0.5,12.25,405.0
2016-09-28 08:00:00,1.0,13.25,404.5
2016-09-28 09:00:00,-0.5,12.75,403.5
2016-09-28 10:00:00,0.75,13.5,404.0
2016-09-28 11:00:00,-0.25,13.25,403.25
2016-09-28 12:00:00,0.25,13.5,403.5
2016-09-28 13:00:00,0.5,14.0,403.25
2016-09-28 14:00:00,-2.75,11.25,402.75
2016-09-28 15:00:00,0.25,11.5,405.5
2016-09-28 16:00:00,-0.0,11.5,405.25
2016-09-28 17:00:00,1.25,12.75,405.25
2016-09-28 18:00:00,1.25,14.0,404.0
2016-09-28 19:00:00,0.25,14.25,402.75
2016-09-28 22:00:00,-0.75,13.5,402.5
2016-09-29 00:00:00,-0.0,13.5,403.25
2016-09-29 01:00:00,0.25,13.75,403.25
2016-09-29 02:00:00,-1.0,12.75,403.0
2016-09-29 03:00:00,-0.0,12.75,404.0
2016-09-29 04:00:00,-0.0,12.75,404.0
2016-09-29 05:00:00,-0.25,12.5,404.0
